track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6O5TrlFWTYvznd9fMC0VvU,0.376,0.595,3.0,-5.936,1.0,0.0496,0.303,0.0,0.095,0.265,144.361,290900.0
4OSBTYWVwsQhGLF9NHvIbR,0.73,0.769,8.0,-5.114,1.0,0.0298,0.138,0.0,0.0473,0.507,104.948,228093.0
563SfWAHJs4FBZMkRN0IFN,0.688,0.533,6.0,-8.363,0.0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,223078.0
46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224694.0
1Yk0cQdMLx5RzzFTYwmuld,0.578,0.43,5.0,-6.134,0.0,0.0305,0.33,0.0,0.0854,0.288,78.991,295502.0
3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5.0,-11.83,1.0,0.0326,0.879,0.0,0.0886,0.315,96.529,125666.0
0Z5ok0QLLttAKsujOZYOXf,0.616,0.47,5.0,-6.092,0.0,0.0253,0.291,0.0,0.111,0.325,80.03,210506.0
3YKptz29AsOlm7WAVnztBh,0.584,0.533,10.0,-7.11,0.0,0.0305,0.684,0.0,0.306,0.224,131.745,288426.0
2DRMuw0U0QbkVQxWxdJV3M,0.59,0.833,5.0,-6.503,0.0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,240439.0
5mFMb5OHI3cN0UjITVztCj,0.612,0.749,0.0,-5.014,1.0,0.0446,0.615,0.0,0.167,0.574,120.052,223266.0
7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.146,0.225,104.036,262466.0
63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1.0,-9.267,1.0,0.0926,0.0493,0.00244,0.399,0.612,158.691,202266.0
2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2.0,-7.89,1.0,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813.0
5ZBeML7Lf3FMEVviTyvi8l,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155226.0
3jDdpx9PMlfMBS5tOBHFm9,0.715,0.833,2.0,-5.379,1.0,0.108,0.00631,0.0,0.164,0.612,95.487,213093.0
2nGFzvICaeEWjIrBrL2RAx,0.739,0.511,9.0,-7.844,1.0,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360.0
2eF2x1BkgilhaZ2AipRY8j,0.353,0.446,0.0,-6.044,0.0,0.0285,0.95,1.35e-05,0.132,0.211,155.476,250000.0
3Am0IbOxmvlSXro7N5iSfZ,0.39,0.502,10.0,-12.277,1.0,0.178,0.336,0.000138,0.0713,0.289,97.871,247320.0
7DD7eSuYSC5xk2ArU62esN,0.534,0.725,6.0,-7.576,0.0,0.0332,0.188,0.0,0.0994,0.763,95.003,139560.0
5GjPQ0eI7AgmOnADn1EO6Q,0.581,0.28,4.0,-9.091,0.0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,126533.0
7HKez549fwJQDzx3zLjHKC,0.631,0.932,5.0,-4.142,1.0,0.0354,0.0436,0.137,0.0918,0.971,122.429,213066.0
0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4.0,-7.499,0.0,0.0487,0.23,0.0,0.0951,0.888,83.014,235133.0
7H3ojI1BsVy0dEJENqMt1k,0.653,0.429,11.0,-10.473,1.0,0.0297,0.0849,0.00371,0.0693,0.627,146.073,274933.0
65vdMBskhx3akkG9vQlSH1,0.767,0.331,1.0,-10.777,0.0,0.0337,0.64,0.0,0.0681,0.636,113.312,149693.0
1zZh6zTXcDgvN0C6S1G4gU,0.405,0.3,2.0,-6.475,1.0,0.0378,0.894,0.0,0.154,0.24,162.355,245426.0
4joiWvli4qJVEW6qZV2i2J,0.416,0.563,1.0,-8.724,0.0,0.0298,0.207,0.0,0.343,0.9,77.56,127853.0
77oU2rjC5XbjQfNe3bD6so,0.783,0.878,1.0,-3.864,0.0,0.0308,0.39,0.000778,0.0426,0.885,100.626,265173.0
3TlIt0ReIxPsVZcOEivT5U,0.476,0.722,0.0,-10.017,1.0,0.0646,0.598,0.0,0.184,0.909,92.966,119800.0
0DMRKqrpd0QO4RWiEdMib0,0.694,0.496,9.0,-14.222,1.0,0.0329,0.0139,0.00356,0.0644,0.799,103.372,257186.0
1Hv1VTm8zeOeybub15mA2R,0.734,0.58,9.0,-6.619,0.0,0.0321,0.238,0.0006,0.0298,0.962,119.336,258693.0
3KiexfmhxHvG5IgAElmTkd,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,173946.0
3VbGCXWRiouAq8VyMYN2MI,0.52,0.829,0.0,-6.228,1.0,0.0806,0.386,6.2e-05,0.227,0.744,147.997,141693.0
3N4DI1vuTSX1tz7fa2NQZw,0.407,0.558,0.0,-13.609,1.0,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,214946.0
