date,rank,last-week,peak-rank,weeks-on-board,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_name,artists
1990-03-31,98,89.0,89,4,3BjD16l0CBQxUvcRI7vLWN,The Seeds Of Love,59,290640,False,0.665,0.787,5,-8.393,1,0.0328,0.0736,0.000132,0.143,0.358,122.478,4,synth-pop,Advice For The Young At Heart,Tears For Fears
2002-12-28,90,89.0,55,20,4e9eGQYsOiBcftrWXwsVco,Toxicity,77,235053,False,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4,alternative,Aerials,System Of A Down
2002-12-28,90,89.0,55,20,4e9eGQYsOiBcftrWXwsVco,Toxicity,77,235053,False,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4,alternative,Aerials,System Of A Down
2018-11-03,96,84.0,51,15,3ZPKocroJIcnHGcnJVlLKD,Weezer (Teal Album),59,238626,False,0.534,0.784,8,-3.59,1,0.0339,0.205,0.00579,0.106,0.6,92.147,4,power-pop,Africa,Weezer
2020-07-18,90,67.0,31,15,16InxTXSm3cunATdpqO0H9,Tailgate Country,0,214040,False,0.619,0.855,10,-4.356,0,0.0346,0.0155,0.0,0.162,0.656,107.004,4,country,After A Few,Travis Denning
2020-04-18,90,61.0,20,7,0MnmtOOke4uQVBMAjIgwVZ,Halloween Party 2022,0,361946,False,0.651,0.567,5,-5.941,0,0.0317,0.0934,0.00991,0.124,0.138,108.953,4,pop,After Hours,The Weeknd
2011-10-15,88,52.0,88,1,29bWDkf8qtCmsvDWOW55CJ,Neighborhoods (Deluxe Explicit Version),58,206866,False,0.541,0.889,9,-3.997,1,0.049,0.00642,1.71e-05,0.02,0.902,167.995,4,punk-rock,After Midnight,blink-182
2016-02-20,50,46.0,33,26,3ESSGgWzRf1xvP7G5hHMhB,Fetty Wap (Deluxe),68,312240,True,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,4,j-dance,Again,Fetty Wap
2016-02-20,50,46.0,33,26,3ESSGgWzRf1xvP7G5hHMhB,Fetty Wap (Deluxe),68,312240,True,0.748,0.733,11,-4.421,0,0.072,0.0062,0.0,0.329,0.291,93.019,4,j-dance,Again,Fetty Wap
1980-08-23,98,92.0,5,17,1SWmFiFSIBoDbQJjNKC7SR,Against The Wind,67,333720,False,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,4,hard-rock,Against The Wind,Bob Seger
2014-08-23,49,41.0,10,24,6O5spqMgOR3Hk20NHCAPpC,Alternative Rock Mixtape,1,296520,False,0.606,0.893,9,-3.681,1,0.0987,0.154,4.18e-05,0.021,0.671,103.985,4,emo,Ain't It Fun,Paramore
2014-08-23,49,41.0,10,24,6O5spqMgOR3Hk20NHCAPpC,Alternative Rock Mixtape,1,296520,False,0.606,0.893,9,-3.681,1,0.0987,0.154,4.18e-05,0.021,0.671,103.985,4,emo,Ain't It Fun,Paramore
2016-12-10,76,79.0,76,7,0ADG9OgdVTL7fgREP75BrZ,So Good,69,224030,False,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,4,edm,Ain't My Fault,Zara Larsson
2016-12-10,76,79.0,76,7,0ADG9OgdVTL7fgREP75BrZ,So Good,69,224030,False,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,4,edm,Ain't My Fault,Zara Larsson
2016-12-10,76,79.0,76,7,0ADG9OgdVTL7fgREP75BrZ,So Good,69,224030,False,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,4,edm,Ain't My Fault,Zara Larsson
2016-12-10,76,79.0,76,7,0ADG9OgdVTL7fgREP75BrZ,So Good,69,224030,False,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,4,edm,Ain't My Fault,Zara Larsson
1967-07-29,38,19.0,19,12,7tqhbajSfrz2F7E1Z75ASX,United,82,151666,False,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,4,funk,Ain't No Mountain High Enough,Marvin Gaye;Tammi Terrell
1967-07-29,38,19.0,19,12,7tqhbajSfrz2F7E1Z75ASX,United,82,151666,False,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,4,funk,Ain't No Mountain High Enough,Marvin Gaye;Tammi Terrell
